sentence_id	sentence	variant	sentence_domain	source	is_used	clips_count
000f671ec54ce0914e9e91e69fdff8536da98a8e7449927487e06dd6bcf4e34c	پاتیُوں ایک گلاس تُو وے پوں پکار تُھو			Desi Ilaaja (Draft)	1	3
001457a77d08687729ee5ca5ab0776a684b396197876b407a139f6a59fc0398b	جہالتِئیں وَج ہِن سابُوئِت دنیاں مز زلیل تے خوار آنٚسے			IK essays & storys	1	3
001626d634977f200c7c1f30912117437fc3b696fe939198ba566cf8fbffbebd	کم لک مریض ݜے گتہ ہُم ہوں تھہ			Column for Social Media	1	3
001a8dae7cda5f951713c3363e9c2a71b3a630be20612066bf0dfaac861ab359	لُغتی / ڈِکشنری مہ ہسانی تے رُخصت ایک څیز تھُو۔			Warya Usool e Fiqha	1	3
001d886a9d41cce7d87f9f8336903de03b35999fd904c9e8be4c9c71592e561a	بلاول بھٹُو آژ ٹی وی لا اے تُھو۔			self	1	10
002e8e44c3063e8579a3c12c2873ed948ad2d64d34671d5ac8da739de2a94758	چے سیواں دن اِسلام سم نی بانیۡ تھُو؛			Warya Usool e Fiqha	1	3
0034629652bba8c65e513e6e8148f4a6464b55f96efa841e45f64a5356a20498	اڑوۡ ݜِݜَیں دڑِیاں دن اُو چو من٘ڑنئ څیز تُھو۔			Desi Ilaaja (Draft)	1	3
00480d74961dae1e2149a5e95418f790c15efad17ad501ab7c966dcbd9e089e4	اسیں دُو قِسمہ تھہ۔			Warya Usool e Fiqha	1	3
0050e625a0da9dabeac9599e6de07faaece02e3e53d9f3ac125d3939927cfedb	مہ گئ نہ منہ وئ بٹُو بھیامان٘س			Story (Draft)	1	2
00599212548f7661a8fce374b73620d0b72dcab8228b00fdbd59859f2dc0d177	اسد کاکا دَن٘وَلاں تُھو/گن٘ڈے گلئیاں تُھو۔			Indus Kohistani Ilm e Balagha & Ilm e Bayan	1	8
006540b56f858902fd0a9117520283424835b675761e17e34d37b86ee6afc9f0	ڇَیؤں مِثال، سیں کاروبارہ روا کرؤں چے			Warya Usool e Fiqha	1	3
00735105df5b012ae747a2d23f703d181f1d1fa34096d6f09580eed67f9a3dee	علمِ نحواں تعریف گی تُھو؟			Hasan Nahw (Draft)	1	3
008168646373c22041b9b2a525c2eb7072cf8afb4db9dbbc20ea932ed337c6b2	”ہجو گِنہۡ، رُشتا۔ہلالیں اْے ڙِھکے آچھی“			Story (Draft)	1	3
008343171b02dc04dc0bf62dbddb01fdf861083a5161a78569cd2e0399d80d4b	کوستَیں مہ بِگ څیز نشَیں یان دن بناں تھُو۔			Warya Usool e Fiqha	1	3
00867b0f8b43d1c5c639794784431911178a66b4f4afcb36b6bb5367c325aa00	خو میں اس کتاب مہ صرف			Foreword for Desi Ilaaja (Draft)	1	3
00870bf3c1ad92d7acff8c1bbdd77364c6d51853d8162c2036b69b761b89cb62	ملېریاں علاج پُور کرؤں انتہائی لازمی تُھو			Column for Social Media	1	3
0094a4e39df0765de27f0a751c80dd84c1ec58d58ded2f4ecee8ef35d615abe4	آں ایوں ہِن زندگی ہَسانی ہُوئ تھی۔			Warya Usool e Fiqha	1	3
00950bbb180d145856ef16ed89cdf5b7ec17875665e880757176277b16ca4944	سِواں دن بِگوݜژؤں (مغفرت) آں گُھوں بدل تُھو۔			Panj Surah Translation	1	3
009a493575a6a64e53bba311c67741ba27afcfc4dff3a202dc2ad8760f6c6908	اسیں مِثال لیونتُوب، قمقلتیا، اؤن٘شؤں			Warya Usool e Fiqha	1	3
009d75045a1c590e1468e44a03690442869e5a6abf87145e83c0dae5073114c1	چے کسیں مھال دالہ (اڅھکیار نہ) بِھیالس نَیں،			Panj Surah Translation	1	3
00a9af9bb654f891c4dd11782679d562c81767c9a4c961947cccdcf05ec11fe0	آں سَیں گتہ چؤں نیل ہوں تھو			Column for Magazine Shaari(Draft)	1	3
00ac796b2b31d414d283697e734a291744fc9ba48d18fca6d78b3f9451b6b82d	(اېگُٹ لَک بېٹھژېل آن٘س)۔			Sawaat Paighambar	1	3
00b7ca19689359569222faa4946ab119f0ae00cb46d76babd808737bb04cb1bc	ٹل کرہ چھی نئ ہریۡ تسیں معنا پُوریۡ نی ہو،			Hasan Nahw (Draft)	1	3
00b88d7273bc7adacbdb69edb65ddd18619d8bc62666ee9137ccd1f6d89ea9b4	بھئ ڇیلِلوۡ کھیں مُوٹِھن مھالیۡ گتہ زوڑہۡ واں ٹپلُو دھا روان تھی۔			Story (Draft)	1	3
00c1c28710ba9adff80fafdc1187164fad3356de82430282907d865f23850ad5	مزید مُوئٹھوں ، بے څئی زِبوں ترقی مہ واضح پیش رفت تسلیم کراتے۔			UNESCO MLEWG Document-Translated	1	4
00d3c91b7e611d1c46bdb604203b363f2c57664ed7057e3347f46ce93f2ff9c5	آں اُو اشتوۡ ثبوت تُھو،			Warya Usool e Fiqha	1	3
00e219ab7b610de5b8669da04d5f33f0e2ee797b91ddcbd404b9c762cf712959	کسیں ہتہۡ مہ چے (ساریۡ کائناتَیں) باچھات/حُکمت تھی			Panj Surah Translation	1	3
00ee2a6ed00fb48cb65f157d6d8ecb8479e03f1250e8fcefdd48626b4b9b6bb8	کان٘ڑ کم کرَیں مہ مدد دی تھی۔			Column for Magazine Shaari(Draft)	1	2
00f464b08a8918d0c86498b465efce34690154e7aef0837da8acf6d05006b779	آں اسی نہ فائدہ ہری گلے بِس بیمار ہویں نہ بچ ہوݩگَیں تھو۔			Desi Ilaaja (Draft)	1	3
0104a1e36b6d31e9c2cf592d4fda40e527be5f276288b09d01ad47ce5eafa6bb	ہا شرِل کھئیں ݜکئے اَئینٚت۔			IK proverbs	1	5
010b9c9c5f5a9dedb0318fdfeeddfe6d2bcf8f5ef40a45332de8785aa978fbce	نِوان٘ز کرے گتہ ماݜ نی مُچ آں نېرے گتہ نی مُچ“			Story (Draft)	1	3
0119327dc2986467569b52b90d986016dd39e8560e25bc7ee138766b524f9a58	قلم امناں پیغام تُھو آں آزادیں وجہۡ،			Column for Magazine Shaari(Draft)	1	3
012c5c8d9bc59dc8f163fcf0ca9908d31f5ea9fd3e819ce6708ebcc7204b29cb	آں ادم چے کؤں تھُو سو			Warya Usool e Fiqha	1	3
01395dc432425fdafcb2fe8d89c183318f0fdee573f2b7e12cce21a27e88ec5f	مُختہ نِوان٘ز کری؛ زِکات دی،			Panj Surah Translation	1	3
013b458fffd5ea0786162b95e2dd62fbd48c4b3b5676a06492256f8db7267342	اېں گُھوں گناہ (اسلام نہ مُنکُر ہُوئ یاں گناہ) کراں بېن٘س۔			Panj Surah Translation	1	3
01427937a94850a8cb0976cfdb07c87962ff711d4f331c8fbf42628575ff1510	کہ لیونَیں ماݜے گی مُول گھِنؤں کیر کھیں۔			Warya Usool e Fiqha	1	3
014743e0c4ee37048940f0972aac98fddf5a77f6ded7b808747b906f1b19d445	اېں کن٘ڈؤں نہ بېل سِگیں وَیں گیوں مہ ہو تھہ۔			Panj Surah Translation	1	3
0178b759c6923a60e92698793c0ea7544aa40af697cf7b85a3e5ae211e16a95b	آں بے کس یادی ایا گېل اما لا پھر گتہ کیریۡ تُھو			Funny essay for Magazin Shaari(Draft)	1	3
017c097ee2447252456f8fef11208f437d69809283510b8564b88eac58a8daa6	علم نحو سو علم تُھو چے			Hasan Nahw (Draft)	1	2
017c753f95b8ef0f1e28db3393e35775dbe6bd3ebf9df3441fd686c3ea4a257f	مُشقَت یا بھا مہ بِکسیں خرچ اسی لا گُھریۡ تھُو			Warya Usool e Fiqha	1	3
01807591206294bf117fd5c79bd3a9c88447aa7e8e21f8499de23a7c40398832	تسے دھرېل قِسمؤں نہ ہُم			Column for Social Media	1	2
01891143106bfa6c412112178e3322b7d21501c1040e2c8005f51e85095699ce	ݜُو شاناں خوراک ایک دیس مہ ڇا وار ہُم دیوُژ تھو۔			Desi Ilaaja (Draft)	1	3
0199eeb45bcda8202913c0d9c21c9da74eaa3af9d7cfbfab916d83357edeaa3d	بلڈ پریشرَیں علاج ملی پرہیز گتہ لازمی تُھو			Desi Ilaaja (Draft)	1	2
019e83c10f44a53d6af59ceec8c3124ef64867db82e2fe6ef4357bff20529be5	اېک قلاہوۡ فتح نی ہُون٘دوۡ			Sawaat Paighambar	1	3
01a45eea73b9feb5a45c57031e2efa32cdbeb2d413cf2dfe53788553c1a80707	سو روا ہُوئ تھُو۔			Warya Usool e Fiqha	1	3
01ac9f032e330c2a3f1f3e3522f478b2c2b16e259542dfa2829cfe5fbf0b7330	قانُون ݜے بلی وَیں بَٹیۡ تھی چے کؤں حُکمتیں اِداریوں سَندیل ہوئ تُھو۔		history_law_government	امَیں لِکہ چھی	1	5
01b530d984d4f79eedc6e32a6678bf7d85256d98696a3f0d6f56d89db046a21a	سو تعریف ݜُو تُھو،			Column for Magazine Shaari(Draft)	1	2
01c8cb386c0fc128815213d5ad5281986e710938647b9e37245df1731b32c75d	دُویُوں باب مہ بیان کرچھی۔			Desi Ilaaja (Draft)	1	2
01d6d55b9ae84e1b156da467c0df1a522ec56bdca0a264d317282338cac88e63	ہُویں ضرورت ݜُو بلیں تھی چےۡ			Column for Magazine Shaari(Draft)	1	3
01dec0adcb0b37af4876a23264eb08b878e3a82ee93d6d52d783d651dd2514bf	کھیں سو می وَیں نھالِسیۡ۔			Story (Draft)	1	3
01df5152aefc98acb50c98296cfaecb0f45cbd06df0434111841d407f6e5fc36	یَا خُدایا ہِلہ بِلہ مَٹی مِلِلیۡ کھیں ݜُو نېٹ گِنہۡ کام نېریۡ تُھو،			Funny Story for Magazine Shaari(Draft)	1	3
01e215ee0b38c9e04bf54c38295a11bb936f5379d90b187c5e63c5ea85786774	تیں کرم خدمت نېرُوں مرگے تادی			Naat for Magazine Shaari(Draft)	1	3
01f1eeb3a965c56c2db14cd1fb45979e76aee6e86da7bf06a18a80b980a67589	تئیں سیاسی حیثیت کالاتے آں آزاد طور ہِن تئیں معاشی،				1	4
01fd12db141979899d6eb53c3e7fd042e7a40d0ac943bc700db2f086a0e9aec3	څئی زِبوں مہ تعلیمئیں پالیسیہ آں عمل چہ سئیں ثبوتوں بنیاد تل			UNESCO MLEWG Document-Translated	1	5
0205173e54d95ad35f6ff1b901b4dc61b21780967fb4a3232d3a4b0d22ebdc79	بو چور بئ بھېٹوۡ کھیں بُوئی بولاں بواں دن			Short Story for Magazine Shaari	1	3
020adb13e798db47b227c73cba5edf8498bfed475fa6442270eda0e5d932cf48	کھیں مِیں ہِیُو چو بېرام ہُویان٘س۔			Funny Story for Magazine Shaari(Draft)	1	3
02389173dbf0425d48e4db319de02ad8a7ff72598721aa6aac13862f52aa5c1f	آں اېں دو څیزہۡ اېک مُت مِشر گُمبژېل تھو۔			Column for Magazine Shaari(Draft)	1	3
023d0f7f7badc370f95fec50050e7e3cfe3a3d3b9f18f115b6fa011fad9b7831	تروالی دُشمنی تے قتلاں کام کیریۡ تھی			Column for Magazine Shaari(Draft)	1	3
024160d5b55633d72d1e8b7608aeb290a758ae488a721b0dfeae5a9aede85075	پیال اُتھل کھن٘ڑوَیں کھِن٘گی لا نکی یان٘س،			Short Story for Social Media	1	2
0257ef52c1e5f75b691ee6bdd612d9ca2c321d75e4fcbd03922bce2d37fa4317	آژُک زُمانہ مہ اجتِہادَیں سخت زرت تھی			Warya Usool e Fiqha	1	2
025c51ea3a5fb0d4ad5abf846a6ade3818715f7d34357809a6dc75a1ba8e3e7c	مُکمل گرامر تے اِملاں اُصولؤں لا مُت کتاب چاپ کرَیں یاں شوق رڇِھگ تھو			Self	1	8
027ac893f9dcf1e429112105a0148e3b157bb62c02da9d451abe48120746bd69	اسی مہ رسولِ پاک علیہ سلامَیں مارَیں سازش ہُم ٹل آن٘سیۡ۔			Sawaat Paighambar	1	3
027be4a3d0243c4727b43e460edede707e66ebd0ea56a4ca8ee12f6bd429d639	خبریُوں مہ ای تھی چہ بین٘گاں څوکیدارؤں رال مہ بین٘گ لا دھاڑہ گل چھی			Indus Kohistani Ilm e Balagha & Ilm e Bayan	1	7
028d36c9d54c4d73ca02f2fbed36c9121fcd2ebdcc249228d929dd5f26aefeff	چےۡ اِوَیں پن٘داں خرچے بِگیۡ دےۡ؛			Sawaat Paighambar	1	3
02910d23296ee98d0bbfe4855567c5a8c7d28bb24dd7a77a0292f6a95831a613	تن٘گ نظری، طرفداری، کئیل/کلیۡ تے حسد چو تُھو			Column for Magazine Shaari(Draft)	1	2
02ba000101c6e61ac391f09e064d9c5e78f4d60bfab113aa5568e45f182c13b9	کھیں تسے پکار تھی چے سو			Desi Ilaaja (Draft)	1	3
02bcae42eea500a1fd546cb0a108c9576912da5bf6cfb56e26f897fd13940711	آں افریقی مُلکوں تے افغانستان مہ تُوہیۡ جن٘گی تھی۔			Column for Magazine Shaari(Draft)	1	2
02c1fe048c8d276c578dd0ed89d54f462828299c38fdea95606b38c5f492c8ef	اُو بِڅاں چؤرؤں مُون٘ڈ تُھُو			Warya Usool e Fiqha	1	3
02e82d6c1e5a84c4b22af007d1756df32c36bbd8b2c180f8f681d540ae56d544	تَلہ عدل تے انصافاں ڇَول گوزَئیں لمَیل آنٚس			IK essays & storys	1	2
02fc6c2f30d5849a3c6bf3d29765031fffc9bc0ed3947c2c25adb879a5f24fd3	ݜُو وجہۡ نہ کہ علامات دُو ڇا ہفتی بئ			Column for Magazine Shaari(Draft)	1	3
0309f0013466d1b345cec80733e605ca6407c9705b4fd9c0cc413836e0b92f71	کِتاب څاں ہَتہۡ مہ تُھو، پڑی۔			Warya Usool e Fiqha	1	3
030bf127ac1d6987ec6697a9bbc15d93da11117feb2ee0581f5c557658054f32	کوستاں چے خلک تعلیم نہ دُور تھو			Column for Magazine Shaari(Draft)	1	3
030c480c8aa17a80257ecc59690e836911455313e754ef31279bbdf0a8f003b8	آں سیں کُہئ یاں وے مہ تاں کاک پشی			Self	1	7
030e1dbab180056bb966de5d91117ba2ec15b42ebfb92c712043a5061ba1f569	ہتہۡ دَھیؤں(خاص کر گولیۡ کھَیں نہ مُوٹھیُوں آں ادوس شارَیں نہ پاتیُوں)۔			Column for Social Media	1	3
030e9962bdc5dbef3cfba2f1f1dc9ad01856d15dd6f9419225d2fc5be7a2b231	تُو نبی واں سردار آں ولی واں تُھو تاج			Naat for Magazine Shaari(Draft)	1	3
03167d6f8cd49ca390a1990b3dbbff5a5cfdfb9c1628b41c1df1027af62f3a14	اُو ماݜ نشہ کیریۡ تُھو			Warya Usool e Fiqha	1	3
032a643d65764622341af416e3dde699f6c3ca31a8a72a043954c1dad72532ad	مُسند الیہ ہو لکھہ			Hasan Nahw (Draft)	1	3
032ed524463e25eb65f3e17e3fe47358c61fecd8ab583aad2706a102d977a1a4	تسے پلیلیۡ بلی وَیں پتہۡ تھی آں سو شِدیۡ تُھو۔			Panj Surah Translation	1	3
034246ba144f59fdb722d4e38d93d5bea7d63cb50d43d33ca5fef0c277e0db5d	مہ لہ څاں واضح بِھیان٘لو تھُو۔			Panj Surah Translation	1	3
035cff0c52db2b5f7dbe5c4bed14ed6ccc33bd80265c1f7736374b85f8e8a645	طالب بئی گشو تل عاشق ہُوانٚس۔			IK proverbs	1	8
0360fc1dc880ec8990094fa558d4482ca778b4d42b2cb131e9d8e94dea36e92b	تس مہ تئیں مذہبی آں ثقافتی مقاموں بچاؤ تئیں رسماں څیزوں استعمال،				1	5
0367e17f1a18587dc82a1f98e6fd41cf9cfba0d6ca57e7c501324f739c20be5a	یعنی کھڈیُوں مہ ماڅھ گلے پورؤں			Column for Social Media	1	3
0369165e49a7de96159aafcdc9cf84147fee8b8e59e1ff36e6148cbf1bf985ef	کھیں کِھن٘گی نہ کؤ ہُون٘دوۡ			Story (Draft)	1	3
0376b603dc63a5729b2988e80476eb41baaf337f17b56efa2d4bda5a6f80ae3c	تُوۡ کل اِیݜَت ۔			Indus Kohistani- Urdu- English Conversation	1	2
037bad609aa531b328270af58b1be159db9f56e8f572833a173044a806b265e4	ڇِگولش شل یا چؤن٘دش شلہ			Column for Magazine Shaari(Draft)	1	3
038869b125e4145133ae6ce5313c2b4f90654eb82258fcdd94e7aaeff15e84be	کؤں ماݜاں چے ݜِݜہ مہ دڑ ہُوگے کھیں تسے			Desi Ilaaja (Draft)	1	3
039b792fad11b03359232717623db60fe63cebaafaa3c7f3716b90a04f5b32a8	تلہ گھېں سردارؤں مہ کېں اِسلام نی آئۡ			Sawaat Paighambar	1	2
039c9c8203af21fb567958a1686b698e3d1e2b79ad00e2da166e01060271b73e	آں مہ اُن٘دہ ای بلیُوں ݜژی تُھو			Column for Magazine Shaari(Draft)	1	3
03a7597a2ba63338b77e8858eed3dbf6015a494127228896ca89536646f489b4	تسی لا ݜَیں چھواری رِزَیں یاں حُکُم کیریۡ			Sawaat Paighambar	1	3
03aa7aba8531421a292ec3dc652fc477002f2d34c1b65fb5d4325329cc3c6377	څَیں مِٹھیۡ لُکھان٘لو			Warya Usool e Fiqha	1	2
03c78f673bc366d2fab1193c7dc1ec4dda5eda81e5cf2bf68e961a9e56b56de1	اُتھل تیں کھن٘ڑ آں گی سُگاؤ تیں فضا			Naat for Magazine Shaari(Draft)	1	3
03dcea0310801370b34a1e02292cd0a18e73e5526e538ec8660bf1ab45a85f9b	کَچھ بُٹ ماݜہ ݜُواں تسی ہِن ہُم ادُوس شریۡ تھُو۔			Warya Usool e Fiqha	1	3
03e6fee769f210b820e498f5b8eb4eb52278fed5b2340f1cf837400cf4c01490	گازریۡ ہِن دنہۡ تے دن٘درسیں علاج کیرُوں سم تھی			Desi Ilaaja (Draft)	1	3
03f4df3187dd09f1a59790654b52273d021f968dfaa55243c672c5ce59b70a7d	صنفی مساوات، آں پائیدار ترقی مہ مدد ملیت ۔			UNESCO MLEWG Document-Translated	1	6
03f766805910fa91575d4569d2200d21fd089b29f5ce1eecb8048874c004b112	لېکن ہر بال مِٹھیۡ ہو تھی۔			Panj Surah Translation	1	3
