sentence_id	sentence	variant	sentence_domain	source	up_votes	down_votes	status
14523dca3b6376d63ba92d09a29098ca2892a640a9c7431d80a4b020c5a98fa5	اسی نہ مُت لیونئ ہوں، بیخُود ہوں		general	امَیں	1	0	pending
1a4a060d7d3667aff29d054377ee14a1f5cf1f8e7d182ef6d65fd0ad9165dd3f	پروردگارَو چہ مَہ تِئیں بوستاناں تُھو			Poem for IK book for class 1	1	0	pending
1aca8d50a2b8dd3cd905cfbacdd6196aa51b8abd387de633ced79abe5e84b9c6	کیں تاں مرگلئ جاں دَن قرض دِت کھیں تسی نہ بھَژدہ دُو بئ تھہ۔			امَیں لِکہ چھی	0	2	rejected
1b9894a69b6917743e5a6db601dd07eba55762e10b326caa6ef4e4425067433e	سو کھیار تُو بے گُناہ کالژا تُھو۔		history_law_government	امَیں لِکہ چھی	0	2	rejected
1df6de33780fb14e85df8edc1b5ad84a14efc071e1d21c01e07733b08ab51bba	تیں شکال بشروو		general	امئیں	1	0	pending
1eb31e86b5a12c1738e3d9fcaece6c9c45bccda916405f671da294be1cecf586	خلکہ ہر وخت تاں سُگائ یارَیں قصی کراں تھی۔		general	امَیں لِکہ چھی	1	2	rejected
2bb2543539891424cb82d95c203bbb78235c8de2d2ba752a53898347eb34ad5a	ہُوئیں اے اندو، پَرو بیتوْ گُلو؟		general	امئیں	1	1	pending
314415dcfaae11f46320f4632bd89b6b2c0b1b8287faf1567b2a2e106064c5f6	میں لہ ہر رال اُرال تھی۔			امَیں لِکہ چھی	1	0	pending
3995202743353191b8e6bda7729a2bc9172dbc506f4c5a9f12a8b592ed40189d	تیں صبُر کرؤں تیں اڑیۡ خُشالی تھی۔ 		general	امَیں لِکہ چھی	1	0	pending
42b0a4c4a407db88eaa59ae5f813a2e4c10229bc0aceba9d3b8cce3372e93a3d	کراچی پاکستاناں بُٹوں نہ گھیرو شہر تھو۔		general	امئیں	0	1	pending
42d76b60e52944984cb8d4b9925cb54464470557dd08685e5d5c43f47293e3c5	مہ آج خَپا تھو۔		general	امئیں	0	1	pending
431342bb1405b13aa095dec6daef97d4fda8a578a1ee8daa4e3edee293d881df	خدائی تی مارہ وہ ظالم زڑگئی		general	امئیں	1	0	pending
4399b66c98bdf721638b753f28c0591e84772bc18ac051f52d7cf9dbad6e60b9	ولے بِگوݜَیں مہ عُمراں سکون تُھو۔ اِسپیناں متل			امَیں لِکہ چھی	1	0	pending
459a1f25ce9bb7e004593f431b867f6470531cc17ad3553f61b3e17a67b17bc4	بھا بَھئی دونئیاں ہر مُنڈ مہ کَسئیں ملیْ بال مَناہاں۔		media_entertainment	امئیں	0	1	pending
46a9072eab55b181fcdcca8e3c148cc9947b38d86413caffd9f21958174779ae	انسان ہوں ہَسان تُھو ولے میشوال ہوں گِران تُھو۔		general	self	1	0	pending
46b63371eef19b18161244b6d632e9747ed1c07a169c3e94ccf6ce96e1f82cf6	میڈیا لاں تاں پیغام متوں ڇیلاں ہاں، مُتاں پیغام ݜُویاہاں		media_entertainment	امئیں	1	0	pending
474bd8698a5aafd4d58361877119700d2dce337d9d10b4ca1ff0e9bf265d057b	ہتہ دھیا گوْلیْ کھا		healthcare	امَیں	0	1	pending
48552ff05e8e4cf57638da8751c9300bbbc043d0031674f5145e7e7061a0dc7c	ماخام نہ پَتَیں روڑوں لا نیْ تِلی		general	امَیں	1	0	pending
492a680b83aab8657b633ef3a1d6e4d32a857d0afc5485512aa9b63932bad6ee	ہر ماݜ تاں تقدیر امَیں سان٘دیٛ تُھوْ۔ ان٘گرېزواں متل.		general	امَیں لِکہ چھی	1	0	pending
4abe3bdedfc5b859712cbdedf62a73ec9ac1d9cec0ef3276bfc6988ca6b1ad52	مِئیں ارمان تُھو وَطنَئیں کرم خدمت			Poem for IK book for class 1	1	1	pending
4b5bd56f58cf390b5976329279f20321a273a88a91fc784f69bbb302312aab2c	تارو اَسماناں تُھو چُونڑِی اِیماناں تُھو			Poem for IK book for class 1	1	0	pending
4b83cc8687126e67842311edcdbc7a3163b463cf73d1641d078ec14d14cb96a7	پاکستاناں چور صوبی تھو۔ پاکستان چے سُگاوْ ملک تھو۔		general	امئیں	1	0	pending
4bfe5b21e9600dcfede2dfd52c156d6ec9eccb50aad9eda69b11d5418e03b639	نئی کہ تیں بن مہ لَکو گلے تی تھاݨے رنگاتو		general	امئیں	0	1	pending
