client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42006514.mp3	4cf13d0c7ab3530a7db2fde5bcacaecaaa560dd14257ae9a74bf36816e6d0fa1	اکبر لہ می نہ دُو زِر رُپئ گِنہ لُکھاں تھو؟		0	2	twenties				mvy	
b9b44554053e4cd29e5be4d519a685832c38c45b5e43c9156d75392625b3ae3e37941ed02882266db91c8944b7d1566f0844a2c4aa463a3dc5bdcb6105b1d10c	common_voice_mvy_42007499.mp3	9d3b582b05584cd8908d8f875e8373ad6d89717255cf1d9fe6b6d9cce1fe6dd8	څئی وار اہم مقاموں تل ڇِھڇئیں استعدادی طاقت متاثر ہُوئینت۔		1	2	thirties				mvy	
b9b44554053e4cd29e5be4d519a685832c38c45b5e43c9156d75392625b3ae3e37941ed02882266db91c8944b7d1566f0844a2c4aa463a3dc5bdcb6105b1d10c	common_voice_mvy_42007528.mp3	a44d168a8c86530df6c654077a05352e7aad3937382abd9d9b5893eec247ac4f	اکرم چاق بلائ څیز تُھو شلاں ٹوپ وڑیا لا اُوڇھی تُھو		0	2	thirties				mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42007725.mp3	5456e99438c0f96d6da67d56b3dff181f2af34829b1b55a67d722fcf70b788c6	اُستا سِوَیں څاری/ نگرانی کیری تُھو		0	2	twenties				mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42007750.mp3	99dac8be978e494a30e4280a3920366c83d50788957cf04ed72cab5b5e19159b	گھریماݜہ فِکِر کرہ		1	2	twenties				mvy	
717e70e297f111a76d90008cbd05dc4f7d0887b2d1803d43151572c42fd4cb7faf9aab79c79e6afa014971d58f3ee249a3886f9c170e323e440d01ed62ecd3cd	common_voice_mvy_42007827.mp3	b58384ba1a5161968201a21c131c094d41cc6938236e4b7fceb4f827097f3663	مالِک تاں زمین لا تلی لُوں زُمُک خوشال ہُوئ تُھو		0	2					mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42007834.mp3	57607e42e172f407b8a9014379587fe3f3335f1eab6e8516742d11f8975dd281	سُگائ یار بُٹؤں نہ گَھیں سفارش تھی۔		1	2	twenties				mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42007937.mp3	ce28f155b06bfb761d1855cd8593c56a7c3e042c6bad3300c5e2221b5a4ff425	بے رالیں کوستَیں ژیب سِڇھا تھہ۔		1	2	twenties				mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42007982.mp3	c8bfa586dc54675f366ef0afeb84aa350106a7d11ab1f1bf1b2dda9ab2032f06	آں جامع معاشراں فروغ دَیوں" ضروری تُھو (ایس ڈی جی 16)۔		0	2	twenties				mvy	
4281ed2314a2c85676db55efdfd06ae0e80cca28b8a50303c9a63524c1b0bccc51e7d7dd44e22e4f6f155ee87c22d5c9f9423d73d9afcbb03a5b77e125c05f09	common_voice_mvy_42008326.mp3	dac1ba3a4e03612b0e11cdb40f4e5a4ecb06b39aacf61a607b85f79a76169d39	پُشُو خُدائے دپارہ مُوںݜ نی دَھئینٚت۔		0	2	thirties		کھیل/دوبېرَیں		mvy	
6c696caea7d008a810ee1e7a9b2b1f665fbb5f9ecc64df0f3ce89781c200eff44d8cbb3574876b9eccd29ed87a4f33beb26c278d21c25d525fe060f3d84f855e	common_voice_mvy_42009939.mp3	5ea0aca82105e73e6a95ba763f27a3b8ff484dca0af041ede41af4410cdc2acb	بَھیٹَیل ماںٚݜے نئیٹ سُگائی اِینٚت۔		0	2			دوبیریں/کھلوچ 		mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42011135.mp3	4addf7734709d1941d248e551ee440a017b8eb69e7ee5cb77fdb18010d941e23	ماݜ پورژیل تے نی پورژیل تُھو		1	2	twenties				mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42011145.mp3	cb60b39d860f6d5eaca19346c81c2b6b0dbde4e99f441bd682fd3db4c566847f	چہ تسیں آغاز 2008 مہ ہوں لانٚس آں اَس مہ موجود اجتماع ہُم شامل آںٚس۔		0	2	twenties				mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42011158.mp3	b387177e8514fa4348344819372ee06d676a2e2662cb8f3db08ea84ba5545ad9	اس وجنہ ݜس بَلئیں سخ ضرورت تھی چہ پاکستاں مہ موجود بُوئیٹ لئیکھ زِبوں مہ		1	2	twenties				mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42011184.mp3	b33d9589a376b99ec4b1839e2a67948d63548fc8253aba2b209edc83cf5b283a	چہ تس اقوام متحدئیں جنرل اسمبلے 13 ستمبر 2007 تل منظور کریلس۔		0	2	twenties				mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42011229.mp3	a55ce82cb71d67593afbf93546ec4d3bbbd36c4bbefb48084e2c890bd1a908f3	ݜو شاناں تئیں فیصلہ کرئیں کموں مالی اعانت دَئیں طئیرقوں		1	2	twenties				mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42011299.mp3	5dccbcfc35955e814b23d8719ad3243597092c9c5d2a63d2134f6f5d444916f6	آں ترقِئیں بنیادی حق شامل تُھو۔		1	2	twenties				mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42011409.mp3	3b267003349aa192f27f16bc7d0172a444ea9bf8a4bdff26256d0b17ea7bacb7	واضح پالیسی، حکمت عملی آں مڑنئی رہنما خطوں بنیاد تل اُستاذؤں افرادی قوت څئیرؤں		1	2	twenties				mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42011411.mp3	ba711bce57abe559a358225fd26d3b0cd129c32c3287168bf91f7a59f8b324ca	آں اۡستاذؤں بھرتی آں سیوں تعیناتی کِراں عملی منصوبوں مِشر،		1	2	twenties				mvy	
c334fa60a0cbb65df0d0a6431ecd607c1740b45e0f057ed72e42c813af5dedacee11819963b0f000d24cf3ad868292f8c817ba75efc7c487979e6a4339408073	common_voice_mvy_42011539.mp3	7aa0e87a0e0db74e44f840a0e3e5c53ce9579c75885a189e55cb2614f0ed0615	کُھٹہ مال خوندئیں تھی۔		1	2					mvy	
6459700f029dd7b51726d101e3ed3ef25508c222062737c7a49a33c36f2611e427da9553a6e4cab6fc8fe30b3aad054041270291192643305c6c96977392ffc9	common_voice_mvy_42011624.mp3	73a68e3fe840a97dedc74ecc91c33a64ee07f891e3dd3b3e64a36527e34285d8	بے تسلیم کراتے چہ زِبوں تعلیمی پالیسیوں آں څئی زِب مہ تعلیمئیں		1	2	twenties				mvy	
