clip	duration[ms]
common_voice_mvy_42377686.mp3	3960
common_voice_mvy_42394734.mp3	9720
common_voice_mvy_42024542.mp3	5220
common_voice_mvy_42357303.mp3	2808
common_voice_mvy_42061342.mp3	3420
common_voice_mvy_42093202.mp3	7128
common_voice_mvy_42546274.mp3	7308
common_voice_mvy_42363086.mp3	3888
common_voice_mvy_42364141.mp3	4968
common_voice_mvy_42386081.mp3	8748
common_voice_mvy_42397754.mp3	3276
common_voice_mvy_42042531.mp3	4608
common_voice_mvy_42389364.mp3	2916
common_voice_mvy_42067241.mp3	3348
common_voice_mvy_42084802.mp3	3528
common_voice_mvy_42383900.mp3	3348
common_voice_mvy_42393475.mp3	3240
common_voice_mvy_42387900.mp3	3600
common_voice_mvy_42394891.mp3	4788
common_voice_mvy_42348274.mp3	4068
common_voice_mvy_42085251.mp3	6696
common_voice_mvy_42369858.mp3	2700
common_voice_mvy_42080160.mp3	4428
common_voice_mvy_42055847.mp3	3708
common_voice_mvy_42182602.mp3	4176
common_voice_mvy_42079386.mp3	4428
common_voice_mvy_42410296.mp3	3888
common_voice_mvy_42350915.mp3	5400
common_voice_mvy_42012183.mp3	5436
common_voice_mvy_42063691.mp3	3888
common_voice_mvy_42346660.mp3	2880
common_voice_mvy_42364545.mp3	7236
common_voice_mvy_42369055.mp3	5508
common_voice_mvy_42356279.mp3	4608
common_voice_mvy_42360048.mp3	3528
common_voice_mvy_42376800.mp3	4860
common_voice_mvy_42348742.mp3	5436
common_voice_mvy_42368893.mp3	2736
common_voice_mvy_42378842.mp3	3420
common_voice_mvy_42520401.mp3	4968
common_voice_mvy_42080574.mp3	3780
common_voice_mvy_42011300.mp3	4788
common_voice_mvy_42012084.mp3	4248
common_voice_mvy_42063265.mp3	4536
common_voice_mvy_42077353.mp3	2808
common_voice_mvy_42367756.mp3	3636
common_voice_mvy_42397292.mp3	4608
common_voice_mvy_42547677.mp3	5580
common_voice_mvy_42064293.mp3	4356
common_voice_mvy_42514998.mp3	4356
common_voice_mvy_42348640.mp3	4500
common_voice_mvy_42052714.mp3	3816
common_voice_mvy_42079939.mp3	3276
common_voice_mvy_43579288.mp3	9216
common_voice_mvy_42386523.mp3	4320
common_voice_mvy_42360666.mp3	2736
common_voice_mvy_42383510.mp3	4176
common_voice_mvy_42007511.mp3	4968
common_voice_mvy_42021403.mp3	3816
common_voice_mvy_42380749.mp3	4608
common_voice_mvy_42382675.mp3	4356
common_voice_mvy_42370098.mp3	3960
common_voice_mvy_42551695.mp3	3780
common_voice_mvy_42391911.mp3	2700
common_voice_mvy_42007827.mp3	5652
common_voice_mvy_42350715.mp3	6156
common_voice_mvy_42055770.mp3	2808
common_voice_mvy_42552881.mp3	4068
common_voice_mvy_42361302.mp3	4248
common_voice_mvy_42347489.mp3	5508
common_voice_mvy_42011431.mp3	4788
common_voice_mvy_42363397.mp3	2916
common_voice_mvy_42011625.mp3	3888
common_voice_mvy_42362552.mp3	4536
common_voice_mvy_42078767.mp3	3060
common_voice_mvy_42366920.mp3	4536
common_voice_mvy_42080733.mp3	5400
common_voice_mvy_42706522.mp3	4536
common_voice_mvy_42402952.mp3	4140
common_voice_mvy_42373679.mp3	3600
common_voice_mvy_42053534.mp3	3456
common_voice_mvy_42556905.mp3	3456
common_voice_mvy_42093010.mp3	3420
common_voice_mvy_42077238.mp3	3996
common_voice_mvy_42375485.mp3	5076
common_voice_mvy_42060917.mp3	3348
common_voice_mvy_42008578.mp3	4176
common_voice_mvy_42370286.mp3	3816
common_voice_mvy_42414917.mp3	4680
common_voice_mvy_42706524.mp3	4968
common_voice_mvy_42011812.mp3	4896
common_voice_mvy_42264488.mp3	4608
common_voice_mvy_42370100.mp3	7308
common_voice_mvy_42363361.mp3	5400
common_voice_mvy_42394148.mp3	4140
common_voice_mvy_42393989.mp3	4896
common_voice_mvy_42369074.mp3	4428
common_voice_mvy_42093105.mp3	4248
common_voice_mvy_42387801.mp3	4896
common_voice_mvy_42060263.mp3	3888
common_voice_mvy_42080797.mp3	5076
common_voice_mvy_42374252.mp3	3636
common_voice_mvy_42076316.mp3	3240
common_voice_mvy_42077257.mp3	7020
common_voice_mvy_42398740.mp3	2916
common_voice_mvy_42370356.mp3	2520
common_voice_mvy_42063107.mp3	5976
common_voice_mvy_42395161.mp3	4176
common_voice_mvy_42379363.mp3	6408
common_voice_mvy_42024889.mp3	3420
common_voice_mvy_42012074.mp3	3996
common_voice_mvy_42357813.mp3	5688
common_voice_mvy_42545066.mp3	5616
common_voice_mvy_42076335.mp3	5076
common_voice_mvy_42363232.mp3	5040
common_voice_mvy_42350485.mp3	3600
common_voice_mvy_42362842.mp3	6120
common_voice_mvy_42363154.mp3	6336
common_voice_mvy_42066860.mp3	3528
common_voice_mvy_42478906.mp3	10548
common_voice_mvy_42063216.mp3	4608
common_voice_mvy_42361250.mp3	4068
common_voice_mvy_42064177.mp3	5508
common_voice_mvy_42346796.mp3	3816
common_voice_mvy_42351807.mp3	3528
common_voice_mvy_42365751.mp3	4788
common_voice_mvy_42403101.mp3	3348
common_voice_mvy_42362211.mp3	5760
common_voice_mvy_42093177.mp3	6588
common_voice_mvy_42360193.mp3	3456
common_voice_mvy_42375474.mp3	6120
common_voice_mvy_42369288.mp3	6156
common_voice_mvy_42089527.mp3	2916
common_voice_mvy_42390764.mp3	3276
common_voice_mvy_42347004.mp3	3168
common_voice_mvy_42376628.mp3	4788
common_voice_mvy_42079572.mp3	2880
common_voice_mvy_42067113.mp3	5976
common_voice_mvy_42363805.mp3	3780
common_voice_mvy_42363383.mp3	5796
common_voice_mvy_42384056.mp3	3420
common_voice_mvy_42021584.mp3	4320
common_voice_mvy_42393525.mp3	3708
common_voice_mvy_42363380.mp3	5220
common_voice_mvy_42368429.mp3	4680
common_voice_mvy_42396449.mp3	3276
common_voice_mvy_42007721.mp3	3636
common_voice_mvy_42024617.mp3	3348
common_voice_mvy_42383417.mp3	5688
common_voice_mvy_42080200.mp3	9000
common_voice_mvy_42546284.mp3	4068
common_voice_mvy_42388266.mp3	5148
common_voice_mvy_42374103.mp3	5148
common_voice_mvy_42389285.mp3	3060
common_voice_mvy_42351480.mp3	8640
common_voice_mvy_42361132.mp3	3960
common_voice_mvy_42393634.mp3	2808
common_voice_mvy_42363847.mp3	3636
common_voice_mvy_42349013.mp3	4716
common_voice_mvy_42413745.mp3	3960
common_voice_mvy_42367794.mp3	5040
common_voice_mvy_42360653.mp3	4896
common_voice_mvy_42060891.mp3	4320
common_voice_mvy_42363061.mp3	4428
common_voice_mvy_42180426.mp3	4320
common_voice_mvy_42368453.mp3	5940
common_voice_mvy_42020613.mp3	7200
common_voice_mvy_42013080.mp3	6156
common_voice_mvy_42007044.mp3	4788
common_voice_mvy_42042219.mp3	6228
common_voice_mvy_42042151.mp3	4140
common_voice_mvy_42021423.mp3	3708
common_voice_mvy_42060362.mp3	4428
common_voice_mvy_42376480.mp3	5328
common_voice_mvy_42379307.mp3	6336
common_voice_mvy_42373595.mp3	3060
common_voice_mvy_42552946.mp3	7560
common_voice_mvy_42079679.mp3	3600
common_voice_mvy_42363510.mp3	5688
common_voice_mvy_42379192.mp3	3636
common_voice_mvy_42080281.mp3	4680
common_voice_mvy_42351827.mp3	4428
common_voice_mvy_42393246.mp3	3780
common_voice_mvy_42079070.mp3	3888
common_voice_mvy_42379946.mp3	8136
common_voice_mvy_42373849.mp3	3996
common_voice_mvy_42053486.mp3	4356
common_voice_mvy_42021255.mp3	3960
common_voice_mvy_42053499.mp3	5436
common_voice_mvy_42079320.mp3	9360
common_voice_mvy_42437906.mp3	5400
common_voice_mvy_42072011.mp3	2628
common_voice_mvy_42397648.mp3	3600
common_voice_mvy_42556809.mp3	3888
common_voice_mvy_42390140.mp3	4500
common_voice_mvy_42369135.mp3	3780
common_voice_mvy_42556902.mp3	3816
common_voice_mvy_42384186.mp3	3960
common_voice_mvy_42370731.mp3	7200
common_voice_mvy_42383312.mp3	3528
common_voice_mvy_42373577.mp3	4140
common_voice_mvy_42365869.mp3	4968
common_voice_mvy_42021110.mp3	3456
common_voice_mvy_42413356.mp3	2988
common_voice_mvy_42066440.mp3	4536
common_voice_mvy_42369133.mp3	5796
common_voice_mvy_42414371.mp3	4176
common_voice_mvy_42064224.mp3	5940
common_voice_mvy_42063804.mp3	3420
common_voice_mvy_42076036.mp3	3960
common_voice_mvy_42060992.mp3	3636
common_voice_mvy_42079398.mp3	8640
common_voice_mvy_42080919.mp3	2700
common_voice_mvy_42369212.mp3	4788
common_voice_mvy_42363587.mp3	3456
common_voice_mvy_42180561.mp3	3708
common_voice_mvy_42514999.mp3	3276
common_voice_mvy_42053500.mp3	3960
common_voice_mvy_42124178.mp3	4608
common_voice_mvy_42065601.mp3	2880
common_voice_mvy_42389278.mp3	3528
common_voice_mvy_42364948.mp3	3816
common_voice_mvy_42385808.mp3	6120
common_voice_mvy_42063116.mp3	5760
common_voice_mvy_42414611.mp3	4428
common_voice_mvy_42012659.mp3	4716
common_voice_mvy_42392831.mp3	4320
common_voice_mvy_42377958.mp3	5508
common_voice_mvy_42077375.mp3	3096
common_voice_mvy_42397534.mp3	4968
common_voice_mvy_42021685.mp3	3600
common_voice_mvy_42007466.mp3	4968
common_voice_mvy_42063991.mp3	6696
common_voice_mvy_42374314.mp3	4896
common_voice_mvy_42075698.mp3	4572
common_voice_mvy_42055768.mp3	3420
common_voice_mvy_42011430.mp3	7380
common_voice_mvy_42368901.mp3	2916
common_voice_mvy_42385850.mp3	6048
common_voice_mvy_42075725.mp3	6516
common_voice_mvy_42063844.mp3	6840
common_voice_mvy_42380448.mp3	4536
common_voice_mvy_42412734.mp3	4176
common_voice_mvy_42080479.mp3	5148
common_voice_mvy_42011787.mp3	5220
common_voice_mvy_42364031.mp3	5400
common_voice_mvy_42080926.mp3	3060
common_voice_mvy_42385816.mp3	3888
common_voice_mvy_42066479.mp3	3780
common_voice_mvy_42010195.mp3	3636
common_voice_mvy_42383556.mp3	3960
common_voice_mvy_42389343.mp3	5076
common_voice_mvy_42362996.mp3	4428
common_voice_mvy_42056638.mp3	6516
common_voice_mvy_42478911.mp3	6948
common_voice_mvy_42383810.mp3	5076
common_voice_mvy_42124172.mp3	10260
common_voice_mvy_42093190.mp3	3708
common_voice_mvy_42365899.mp3	5580
common_voice_mvy_42060274.mp3	3600
common_voice_mvy_42007192.mp3	4140
common_voice_mvy_42078833.mp3	2808
common_voice_mvy_42413361.mp3	4320
common_voice_mvy_42346430.mp3	4428
common_voice_mvy_42061323.mp3	4068
common_voice_mvy_42392917.mp3	3168
common_voice_mvy_42375484.mp3	3708
common_voice_mvy_42347200.mp3	4608
common_voice_mvy_42370228.mp3	2988
common_voice_mvy_42396097.mp3	8028
common_voice_mvy_42380495.mp3	3060
common_voice_mvy_42361021.mp3	4356
common_voice_mvy_42010374.mp3	2736
common_voice_mvy_42079464.mp3	7380
common_voice_mvy_42024772.mp3	7740
common_voice_mvy_42086107.mp3	3420
